IcomparisonTask2															
6/29/15	10:11:06 AM														
															
Participant	Participant	Session	Block	Trial	Event	Participant		Pressed Or		Pressed Or	Correct	Error	Reaction		
Group	Name	ID	Name	Name	Name	Response	Key	Released	Key	Released	Response	Code	Time	Trial Answered	compatibility
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 34"	"numberRL (34, 62)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	550		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 21"	"numberRL (21, 36)"	Button 7			7	Pressed	right; Button 7	C	733		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 18"	"numberRL (18, 32)"	Button 7			7	Pressed	right; Button 7	C	508		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 16"	"numberRL (16, 29)"	Button 7			7	Pressed	right; Button 7	C	549		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 31"	"numberRL (31, 48)"	Button 7			7	Pressed	right; Button 7	C	748		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 61"	"numberRL (61, 96)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	605		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 3"	"numberRL (3, 13)"	Button 7			7	Pressed	right; Button 7	C	622		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 53"	"numberRL (53, 86)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	499		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 45"	"numberRL (45, 76)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	620		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 35"	"numberRL (35, 63)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	831		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 5"	"numberRL (5, 16)"	Button 7			7	Pressed	right; Button 7	C	605		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 42"	"numberRL (42, 72)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	673		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 10"	"numberRL (10, 22)"	Button 7			7	Pressed	right; Button 7	C	595		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 1"	"numberRL (1, 11)"	Button 7			7	Pressed	right; Button 7	C	647		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 20"	"numberRL (20, 34)"	Button 7			7	Pressed	right; Button 7	C	666		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 29"	"numberRL (29, 46)"	Button 7			7	Pressed	right; Button 7	C	573		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 13"	"numberRL (13, 26)"	Button 7			7	Pressed	right; Button 7	C	579		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 7"	"numberRL (7, 18)"	Button 7			7	Pressed	right; Button 7	C	569		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 62"	"numberRL (62, 97)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	529		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 12"	"numberRL (12, 24)"	Button 7			7	Pressed	right; Button 7	C	486		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 16"	"numberRL (16, 29)"	Button 7			7	Pressed	right; Button 7	C	448		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 24"	"numberRL (24, 39)"	Button 7			7	Pressed	right; Button 7	C	491		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 32"	"numberRL (32, 49)"	Button 7			7	Pressed	right; Button 7	C	517		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 33"	"numberRL (33, 61)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	542		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 25"	"numberRL (25, 41)"	Button 7			7	Pressed	right; Button 7	C	599		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 58"	"numberRL (58, 92)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	557		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 15"	"numberRL (15, 28)"	Button 7			7	Pressed	right; Button 7	C	563		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 27"	"numberRL (27, 43)"	Button 7			7	Pressed	right; Button 7	C	796		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 64"	"numberRL (64, 99)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	566		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 30"	"numberRL (30, 47)"	Button 7			7	Pressed	right; Button 7	C	700		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 61"	"numberRL (61, 96)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	767		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 48"	"numberRL (48, 79)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	556		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 56"	"numberRL (56, 89)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	690		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 39"	"numberRL (39, 68)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	644		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 8"	"numberRL (8, 19)"	Button 7			7	Pressed	right; Button 7	C	549		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 2"	"numberRL (2, 12)"	Button 7			7	Pressed	right; Button 7	C	524		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 47"	"numberRL (47, 78)"	Button 1 (left)			1	Pressed	left; Button 1 (left)	C	599		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 14"	"numberRL (14, 27)"	Button 7			7	Pressed	right; Button 7	C	635		incompatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 19"	"numberRL (19, 33)"	Button 7			7	Pressed	right; Button 7	C	575		compatible
Main Group	2		comparisonTask-RL	"comparisonTaskRL, 4"	"numberRL (4, 14)"	Button 7			7	Pressed	right; Button 7	C	502		compatible
